s_category,demo_cat
2 or 3 times,14 years
2 or 3 times,16 years
1 time,16 years
1 time,17 years
1 time,15 years
1 time,15 years
2 or 3 times,15 years
1 time,14 years
2 or 3 times,17 years
6 or more times,17 years
2 or 3 times,18 years +
1 time,16 years
2 or 3 times,15 years
2 or 3 times,16 years
1 time,17 years
1 time,18 years +
2 or 3 times,17 years
1 time,15 years
2 or 3 times,15 years
2 or 3 times,17 years
1 time,16 years
1 time,15 years
2 or 3 times,16 years
2 or 3 times,15 years
2 or 3 times,14 years
6 or more times,18 years +
1 time,14 years
2 or 3 times,18 years +
1 time,18 years +
1 time,17 years
2 or 3 times,16 years
2 or 3 times,15 years
1 time,15 years
1 time,14 years
1 time,17 years
4 or 5 times,17 years
1 time,17 years
1 time,16 years
6 or more times,14 years
2 or 3 times,15 years
2 or 3 times,15 years
2 or 3 times,17 years
2 or 3 times,15 years
1 time,17 years
1 time,16 years
4 or 5 times,14 years
1 time,16 years
2 or 3 times,14 years
6 or more times,17 years
4 or 5 times,16 years
1 time,15 years
4 or 5 times,17 years
2 or 3 times,17 years
1 time,18 years +
4 or 5 times,16 years
2 or 3 times,14 years
2 or 3 times,14 years
2 or 3 times,15 years
2 or 3 times,15 years
2 or 3 times,18 years +
2 or 3 times,16 years
6 or more times,18 years +
1 time,16 years
1 time,16 years
2 or 3 times,16 years
4 or 5 times,15 years
1 time,15 years
2 or 3 times,15 years
1 time,17 years
1 time,18 years +
2 or 3 times,17 years
2 or 3 times,17 years
1 time,17 years
1 time,17 years
6 or more times,18 years +
1 time,15 years
1 time,18 years +
1 time,18 years +
1 time,16 years
1 time,17 years
1 time,17 years
1 time,17 years
1 time,16 years
1 time,17 years
1 time,14 years
1 time,16 years
2 or 3 times,18 years +
4 or 5 times,18 years +
2 or 3 times,15 years
1 time,16 years
6 or more times,15 years
2 or 3 times,15 years
1 time,14 years
1 time,15 years
2 or 3 times,15 years
1 time,16 years
1 time,18 years +
1 time,17 years
1 time,15 years
1 time,16 years
1 time,18 years +
2 or 3 times,15 years
1 time,17 years
2 or 3 times,16 years
2 or 3 times,16 years
1 time,17 years
1 time,16 years
1 time,16 years
2 or 3 times,15 years
6 or more times,14 years
1 time,14 years
2 or 3 times,17 years
1 time,15 years
1 time,16 years
1 time,17 years
1 time,15 years
2 or 3 times,17 years
2 or 3 times,15 years
1 time,16 years
2 or 3 times,16 years
1 time,16 years
1 time,15 years
1 time,16 years
6 or more times,17 years
6 or more times,15 years
2 or 3 times,14 years
1 time,16 years
1 time,15 years
1 time,16 years
1 time,16 years
2 or 3 times,17 years
2 or 3 times,15 years
1 time,15 years
1 time,14 years
1 time,17 years
2 or 3 times,18 years +
2 or 3 times,16 years
1 time,15 years
2 or 3 times,15 years
1 time,16 years
1 time,18 years +
2 or 3 times,15 years
1 time,16 years
1 time,14 years
1 time,17 years
1 time,17 years
2 or 3 times,17 years
4 or 5 times,17 years
4 or 5 times,18 years +
2 or 3 times,15 years
1 time,15 years
1 time,17 years
1 time,16 years
1 time,17 years
1 time,16 years
1 time,17 years
2 or 3 times,17 years
1 time,18 years +
1 time,15 years
1 time,14 years
2 or 3 times,16 years
2 or 3 times,15 years
2 or 3 times,15 years
1 time,16 years
2 or 3 times,14 years
1 time,15 years
2 or 3 times,18 years +
6 or more times,17 years
2 or 3 times,16 years
6 or more times,15 years
2 or 3 times,16 years
2 or 3 times,16 years
6 or more times,17 years
6 or more times,17 years
2 or 3 times,16 years
2 or 3 times,18 years +
1 time,17 years
2 or 3 times,15 years
4 or 5 times,18 years +
1 time,17 years
2 or 3 times,17 years
2 or 3 times,16 years
2 or 3 times,17 years
1 time,16 years
1 time,16 years
6 or more times,16 years
1 time,15 years
2 or 3 times,15 years
1 time,14 years
1 time,15 years
2 or 3 times,16 years
2 or 3 times,16 years
1 time,16 years
1 time,16 years
6 or more times,18 years +
1 time,18 years +
6 or more times,18 years +
1 time,14 years
1 time,16 years
1 time,16 years
4 or 5 times,16 years
2 or 3 times,15 years
1 time,15 years
6 or more times,0 < 13 years
1 time,17 years
6 or more times,18 years +
2 or 3 times,16 years
6 or more times,18 years +
2 or 3 times,14 years
1 time,17 years
4 or 5 times,16 years
1 time,15 years
1 time,17 years
1 time,18 years +
1 time,14 years
2 or 3 times,15 years
1 time,17 years
2 or 3 times,16 years
1 time,15 years
1 time,15 years
4 or 5 times,18 years +
2 or 3 times,17 years
1 time,16 years
1 time,16 years
2 or 3 times,15 years
1 time,17 years
1 time,17 years
1 time,15 years
6 or more times,18 years +
4 or 5 times,16 years
2 or 3 times,16 years
1 time,16 years
1 time,17 years
1 time,15 years
2 or 3 times,15 years
2 or 3 times,16 years
2 or 3 times,16 years
1 time,16 years
2 or 3 times,16 years
4 or 5 times,16 years
2 or 3 times,17 years
6 or more times,16 years
2 or 3 times,14 years
4 or 5 times,14 years
1 time,14 years
6 or more times,0 < 13 years
2 or 3 times,17 years
1 time,15 years
4 or 5 times,14 years
1 time,18 years +
6 or more times,15 years
2 or 3 times,18 years +
1 time,18 years +
1 time,17 years
4 or 5 times,18 years +
1 time,15 years
1 time,16 years
2 or 3 times,15 years
1 time,17 years
6 or more times,17 years
2 or 3 times,17 years
1 time,16 years
1 time,14 years
1 time,15 years
1 time,17 years
1 time,17 years
6 or more times,17 years
1 time,17 years
2 or 3 times,18 years +
2 or 3 times,17 years
1 time,16 years
1 time,15 years
1 time,15 years
1 time,15 years
1 time,16 years
4 or 5 times,15 years
1 time,15 years
1 time,16 years
4 or 5 times,16 years
1 time,16 years
1 time,16 years
2 or 3 times,16 years
2 or 3 times,15 years
2 or 3 times,15 years
1 time,18 years +
1 time,17 years
1 time,17 years
2 or 3 times,16 years
1 time,16 years
1 time,18 years +
1 time,18 years +
1 time,16 years
2 or 3 times,16 years
2 or 3 times,16 years
1 time,17 years
2 or 3 times,14 years
1 time,15 years
1 time,16 years
1 time,16 years
2 or 3 times,15 years
1 time,17 years
2 or 3 times,17 years
2 or 3 times,17 years
2 or 3 times,17 years
2 or 3 times,17 years
1 time,16 years
1 time,17 years
1 time,16 years
4 or 5 times,17 years
2 or 3 times,14 years
2 or 3 times,16 years
2 or 3 times,17 years
1 time,15 years
1 time,16 years
2 or 3 times,16 years
2 or 3 times,17 years
2 or 3 times,17 years
1 time,17 years
1 time,14 years
2 or 3 times,15 years
1 time,15 years
1 time,17 years
1 time,18 years +
4 or 5 times,17 years
1 time,17 years
1 time,16 years
1 time,16 years
1 time,17 years
1 time,17 years
6 or more times,16 years
6 or more times,17 years
1 time,16 years
2 or 3 times,17 years
1 time,15 years
1 time,17 years
2 or 3 times,14 years
2 or 3 times,14 years
2 or 3 times,18 years +
2 or 3 times,17 years
2 or 3 times,15 years
1 time,16 years
1 time,15 years
2 or 3 times,15 years
1 time,17 years
1 time,16 years
1 time,17 years
1 time,16 years
2 or 3 times,0 < 13 years
2 or 3 times,17 years
2 or 3 times,15 years
6 or more times,16 years
4 or 5 times,17 years
2 or 3 times,15 years
2 or 3 times,16 years
2 or 3 times,15 years
1 time,14 years
1 time,17 years
1 time,17 years
1 time,16 years
1 time,15 years
2 or 3 times,15 years
2 or 3 times,15 years
2 or 3 times,15 years
2 or 3 times,16 years
2 or 3 times,15 years
1 time,15 years
1 time,15 years
1 time,15 years
1 time,15 years
1 time,16 years
1 time,16 years
2 or 3 times,15 years
1 time,16 years
1 time,17 years
2 or 3 times,15 years
1 time,14 years
2 or 3 times,14 years
1 time,15 years
1 time,16 years
1 time,17 years
1 time,15 years
1 time,15 years
2 or 3 times,16 years
2 or 3 times,16 years
6 or more times,17 years
1 time,16 years
1 time,18 years +
1 time,17 years
1 time,15 years
1 time,15 years
2 or 3 times,15 years
1 time,15 years
1 time,15 years
1 time,14 years
6 or more times,0 < 13 years
2 or 3 times,17 years
1 time,15 years
1 time,18 years +
1 time,15 years
1 time,18 years +
1 time,17 years
1 time,17 years
1 time,15 years
6 or more times,14 years
2 or 3 times,14 years
1 time,15 years
1 time,15 years
2 or 3 times,16 years
1 time,17 years
1 time,17 years
1 time,16 years
2 or 3 times,17 years
2 or 3 times,14 years
1 time,15 years
1 time,15 years
1 time,15 years
1 time,14 years
2 or 3 times,14 years
1 time,17 years
1 time,17 years
1 time,17 years
1 time,14 years
2 or 3 times,18 years +
1 time,18 years +
1 time,17 years
2 or 3 times,17 years
1 time,18 years +
2 or 3 times,15 years
2 or 3 times,15 years
2 or 3 times,17 years
1 time,0 < 13 years
1 time,17 years
2 or 3 times,16 years
1 time,17 years
1 time,16 years
6 or more times,18 years +
2 or 3 times,17 years
1 time,18 years +
1 time,17 years
1 time,17 years
1 time,16 years
2 or 3 times,17 years
2 or 3 times,15 years
1 time,14 years
2 or 3 times,15 years
2 or 3 times,18 years +
1 time,16 years
1 time,16 years
1 time,14 years
1 time,15 years
1 time,14 years
1 time,14 years
2 or 3 times,14 years
1 time,15 years
1 time,16 years
2 or 3 times,14 years
1 time,17 years
6 or more times,14 years
2 or 3 times,16 years
2 or 3 times,16 years
1 time,15 years
1 time,14 years
1 time,14 years
1 time,15 years
1 time,15 years
2 or 3 times,15 years
1 time,14 years
1 time,15 years
2 or 3 times,15 years
6 or more times,17 years
1 time,18 years +
1 time,18 years +
6 or more times,18 years +
1 time,18 years +
1 time,16 years
